Iteración,Valor función,Norma gradiente,Δx
0,4.2909e-01,2.9266e-01,6.1163e-01
1,3.5600e-01,2.1250e-01,2.9266e-01
2,3.1542e-01,1.7140e-01,2.1250e-01
3,2.8834e-01,1.4551e-01,1.7140e-01
4,2.6852e-01,1.2739e-01,1.4551e-01
5,2.5317e-01,1.1386e-01,1.2739e-01
6,2.4083e-01,1.0328e-01,1.1386e-01
7,2.3061e-01,9.4755e-02,1.0328e-01
8,2.2197e-01,8.7702e-02,9.4755e-02
9,2.1454e-01,8.1755e-02,8.7702e-02
10,2.0807e-01,7.6662e-02,8.1755e-02
11,2.0236e-01,7.2241e-02,7.6662e-02
12,1.9729e-01,6.8363e-02,7.2241e-02
13,1.9273e-01,6.4928e-02,6.8363e-02
14,1.8862e-01,6.1861e-02,6.4928e-02
15,1.8488e-01,5.9103e-02,6.1861e-02
16,1.8146e-01,5.6608e-02,5.9103e-02
17,1.7832e-01,5.4338e-02,5.6608e-02
18,1.7542e-01,5.2263e-02,5.4338e-02
19,1.7274e-01,5.0357e-02,5.2263e-02
20,1.7025e-01,4.8599e-02,5.0357e-02
21,1.6793e-01,4.6973e-02,4.8599e-02
22,1.6576e-01,4.5463e-02,4.6973e-02
23,1.6372e-01,4.4057e-02,4.5463e-02
24,1.6181e-01,4.2743e-02,4.4057e-02
25,1.6001e-01,4.1514e-02,4.2743e-02
26,1.5831e-01,4.0359e-02,4.1514e-02
27,1.5670e-01,3.9273e-02,4.0359e-02
28,1.5518e-01,3.8250e-02,3.9273e-02
29,1.5374e-01,3.7283e-02,3.8250e-02
30,1.5236e-01,3.6369e-02,3.7283e-02
31,1.5106e-01,3.5502e-02,3.6369e-02
32,1.4981e-01,3.4679e-02,3.5502e-02
33,1.4862e-01,3.3896e-02,3.4679e-02
34,1.4749e-01,3.3151e-02,3.3896e-02
35,1.4640e-01,3.2441e-02,3.3151e-02
36,1.4536e-01,3.1763e-02,3.2441e-02
37,1.4436e-01,3.1116e-02,3.1763e-02
38,1.4340e-01,3.0496e-02,3.1116e-02
39,1.4248e-01,2.9902e-02,3.0496e-02
40,1.4159e-01,2.9333e-02,2.9902e-02
41,1.4074e-01,2.8787e-02,2.9333e-02
42,1.3992e-01,2.8262e-02,2.8787e-02
43,1.3913e-01,2.7758e-02,2.8262e-02
44,1.3836e-01,2.7272e-02,2.7758e-02
45,1.3763e-01,2.6805e-02,2.7272e-02
46,1.3691e-01,2.6354e-02,2.6805e-02
47,1.3623e-01,2.5920e-02,2.6354e-02
48,1.3556e-01,2.5500e-02,2.5920e-02
49,1.3491e-01,2.5095e-02,2.5500e-02
50,1.3429e-01,2.4704e-02,2.5095e-02
51,1.3368e-01,2.4325e-02,2.4704e-02
52,1.3310e-01,2.3958e-02,2.4325e-02
53,1.3253e-01,2.3604e-02,2.3958e-02
54,1.3197e-01,2.3260e-02,2.3604e-02
55,1.3144e-01,2.2927e-02,2.3260e-02
56,1.3092e-01,2.2603e-02,2.2927e-02
57,1.3041e-01,2.2290e-02,2.2603e-02
58,1.2991e-01,2.1985e-02,2.2290e-02
59,1.2943e-01,2.1690e-02,2.1985e-02
60,1.2897e-01,2.1402e-02,2.1690e-02
61,1.2851e-01,2.1123e-02,2.1402e-02
62,1.2807e-01,2.0851e-02,2.1123e-02
63,1.2764e-01,2.0587e-02,2.0851e-02
64,1.2722e-01,2.0330e-02,2.0587e-02
65,1.2680e-01,2.0079e-02,2.0330e-02
66,1.2640e-01,1.9835e-02,2.0079e-02
67,1.2601e-01,1.9597e-02,1.9835e-02
68,1.2563e-01,1.9365e-02,1.9597e-02
69,1.2526e-01,1.9139e-02,1.9365e-02
70,1.2489e-01,1.8919e-02,1.9139e-02
71,1.2454e-01,1.8703e-02,1.8919e-02
72,1.2419e-01,1.8493e-02,1.8703e-02
73,1.2385e-01,1.8288e-02,1.8493e-02
74,1.2352e-01,1.8088e-02,1.8288e-02
75,1.2319e-01,1.7892e-02,1.8088e-02
76,1.2287e-01,1.7701e-02,1.7892e-02
77,1.2256e-01,1.7513e-02,1.7701e-02
78,1.2226e-01,1.7331e-02,1.7513e-02
79,1.2196e-01,1.7152e-02,1.7331e-02
80,1.2167e-01,1.6977e-02,1.7152e-02
81,1.2138e-01,1.6805e-02,1.6977e-02
82,1.2110e-01,1.6638e-02,1.6805e-02
83,1.2082e-01,1.6474e-02,1.6638e-02
84,1.2055e-01,1.6313e-02,1.6474e-02
85,1.2029e-01,1.6155e-02,1.6313e-02
86,1.2003e-01,1.6001e-02,1.6155e-02
87,1.1977e-01,1.5850e-02,1.6001e-02
88,1.1952e-01,1.5702e-02,1.5850e-02
89,1.1928e-01,1.5557e-02,1.5702e-02
90,1.1904e-01,1.5414e-02,1.5557e-02
91,1.1880e-01,1.5274e-02,1.5414e-02
92,1.1857e-01,1.5137e-02,1.5274e-02
93,1.1834e-01,1.5003e-02,1.5137e-02
94,1.1812e-01,1.4871e-02,1.5003e-02
95,1.1790e-01,1.4741e-02,1.4871e-02
96,1.1768e-01,1.4614e-02,1.4741e-02
