Iteración,Valor función,Norma gradiente,Δx
0,4.3161e-01,2.9260e-01,6.0608e-01
1,3.5851e-01,2.1269e-01,2.9260e-01
2,3.1785e-01,1.7166e-01,2.1269e-01
3,2.9068e-01,1.4579e-01,1.7166e-01
4,2.7079e-01,1.2767e-01,1.4579e-01
5,2.5537e-01,1.1413e-01,1.2767e-01
6,2.4296e-01,1.0356e-01,1.1413e-01
7,2.3269e-01,9.5026e-02,1.0356e-01
8,2.2400e-01,8.7972e-02,9.5026e-02
9,2.1653e-01,8.2025e-02,8.7972e-02
10,2.1001e-01,7.6932e-02,8.2025e-02
11,2.0426e-01,7.2512e-02,7.6932e-02
12,1.9915e-01,6.8635e-02,7.2512e-02
13,1.9456e-01,6.5200e-02,6.8635e-02
14,1.9041e-01,6.2134e-02,6.5200e-02
15,1.8663e-01,5.9377e-02,6.2134e-02
16,1.8318e-01,5.6881e-02,5.9377e-02
17,1.8001e-01,5.4611e-02,5.6881e-02
18,1.7709e-01,5.2535e-02,5.4611e-02
19,1.7438e-01,5.0628e-02,5.2535e-02
20,1.7186e-01,4.8869e-02,5.0628e-02
21,1.6951e-01,4.7241e-02,4.8869e-02
22,1.6732e-01,4.5729e-02,4.7241e-02
23,1.6526e-01,4.4321e-02,4.5729e-02
24,1.6332e-01,4.3005e-02,4.4321e-02
25,1.6150e-01,4.1772e-02,4.3005e-02
26,1.5978e-01,4.0615e-02,4.1772e-02
27,1.5815e-01,3.9526e-02,4.0615e-02
28,1.5661e-01,3.8500e-02,3.9526e-02
29,1.5515e-01,3.7530e-02,3.8500e-02
30,1.5375e-01,3.6611e-02,3.7530e-02
31,1.5243e-01,3.5741e-02,3.6611e-02
32,1.5117e-01,3.4914e-02,3.5741e-02
33,1.4996e-01,3.4128e-02,3.4914e-02
34,1.4881e-01,3.3379e-02,3.4128e-02
35,1.4771e-01,3.2665e-02,3.3379e-02
36,1.4665e-01,3.1983e-02,3.2665e-02
37,1.4564e-01,3.1331e-02,3.1983e-02
38,1.4467e-01,3.0708e-02,3.1331e-02
39,1.4373e-01,3.0110e-02,3.0708e-02
40,1.4284e-01,2.9537e-02,3.0110e-02
41,1.4197e-01,2.8986e-02,2.9537e-02
42,1.4114e-01,2.8457e-02,2.8986e-02
43,1.4034e-01,2.7949e-02,2.8457e-02
44,1.3956e-01,2.7459e-02,2.7949e-02
45,1.3881e-01,2.6988e-02,2.7459e-02
46,1.3809e-01,2.6533e-02,2.6988e-02
47,1.3739e-01,2.6094e-02,2.6533e-02
48,1.3672e-01,2.5671e-02,2.6094e-02
49,1.3607e-01,2.5262e-02,2.5671e-02
50,1.3543e-01,2.4866e-02,2.5262e-02
51,1.3482e-01,2.4483e-02,2.4866e-02
52,1.3422e-01,2.4113e-02,2.4483e-02
53,1.3365e-01,2.3754e-02,2.4113e-02
54,1.3309e-01,2.3407e-02,2.3754e-02
55,1.3254e-01,2.3069e-02,2.3407e-02
56,1.3201e-01,2.2742e-02,2.3069e-02
57,1.3150e-01,2.2425e-02,2.2742e-02
58,1.3100e-01,2.2117e-02,2.2425e-02
59,1.3052e-01,2.1817e-02,2.2117e-02
60,1.3004e-01,2.1526e-02,2.1817e-02
61,1.2958e-01,2.1243e-02,2.1526e-02
62,1.2913e-01,2.0968e-02,2.1243e-02
63,1.2870e-01,2.0700e-02,2.0968e-02
64,1.2827e-01,2.0439e-02,2.0700e-02
65,1.2786e-01,2.0185e-02,2.0439e-02
66,1.2745e-01,1.9938e-02,2.0185e-02
67,1.2706e-01,1.9697e-02,1.9938e-02
68,1.2667e-01,1.9461e-02,1.9697e-02
69,1.2629e-01,1.9232e-02,1.9461e-02
70,1.2593e-01,1.9008e-02,1.9232e-02
71,1.2557e-01,1.8790e-02,1.9008e-02
72,1.2522e-01,1.8576e-02,1.8790e-02
73,1.2487e-01,1.8368e-02,1.8576e-02
74,1.2454e-01,1.8164e-02,1.8368e-02
75,1.2421e-01,1.7966e-02,1.8164e-02
76,1.2389e-01,1.7771e-02,1.7966e-02
77,1.2357e-01,1.7581e-02,1.7771e-02
78,1.2327e-01,1.7395e-02,1.7581e-02
79,1.2297e-01,1.7214e-02,1.7395e-02
80,1.2267e-01,1.7036e-02,1.7214e-02
81,1.2238e-01,1.6862e-02,1.7036e-02
82,1.2210e-01,1.6691e-02,1.6862e-02
83,1.2182e-01,1.6524e-02,1.6691e-02
84,1.2155e-01,1.6361e-02,1.6524e-02
85,1.2128e-01,1.6201e-02,1.6361e-02
86,1.2102e-01,1.6044e-02,1.6201e-02
87,1.2077e-01,1.5890e-02,1.6044e-02
88,1.2052e-01,1.5739e-02,1.5890e-02
89,1.2027e-01,1.5591e-02,1.5739e-02
90,1.2003e-01,1.5446e-02,1.5591e-02
91,1.1979e-01,1.5304e-02,1.5446e-02
92,1.1956e-01,1.5165e-02,1.5304e-02
93,1.1933e-01,1.5028e-02,1.5165e-02
94,1.1910e-01,1.4893e-02,1.5028e-02
95,1.1888e-01,1.4762e-02,1.4893e-02
96,1.1866e-01,1.4632e-02,1.4762e-02
97,1.1845e-01,1.4505e-02,1.4632e-02
98,1.1824e-01,1.4380e-02,1.4505e-02
99,1.1804e-01,1.4257e-02,1.4380e-02
100,1.1783e-01,1.4137e-02,1.4257e-02
101,1.1763e-01,1.4018e-02,1.4137e-02
102,1.1744e-01,1.3902e-02,1.4018e-02
103,1.1725e-01,1.3788e-02,1.3902e-02
104,1.1706e-01,1.3675e-02,1.3788e-02
105,1.1687e-01,1.3565e-02,1.3675e-02
106,1.1669e-01,1.3456e-02,1.3565e-02
107,1.1651e-01,1.3349e-02,1.3456e-02
108,1.1633e-01,1.3244e-02,1.3349e-02
109,1.1616e-01,1.3140e-02,1.3244e-02
110,1.1598e-01,1.3038e-02,1.3140e-02
111,1.1581e-01,1.2938e-02,1.3038e-02
112,1.1565e-01,1.2840e-02,1.2938e-02
113,1.1548e-01,1.2742e-02,1.2840e-02
114,1.1532e-01,1.2647e-02,1.2742e-02
115,1.1516e-01,1.2553e-02,1.2647e-02
116,1.1500e-01,1.2460e-02,1.2553e-02
117,1.1485e-01,1.2369e-02,1.2460e-02
118,1.1470e-01,1.2279e-02,1.2369e-02
119,1.1455e-01,1.2191e-02,1.2279e-02
120,1.1440e-01,1.2103e-02,1.2191e-02
121,1.1425e-01,1.2017e-02,1.2103e-02
122,1.1411e-01,1.1933e-02,1.2017e-02
123,1.1397e-01,1.1849e-02,1.1933e-02
124,1.1383e-01,1.1767e-02,1.1849e-02
125,1.1369e-01,1.1686e-02,1.1767e-02
126,1.1355e-01,1.1606e-02,1.1686e-02
127,1.1342e-01,1.1527e-02,1.1606e-02
128,1.1329e-01,1.1450e-02,1.1527e-02
129,1.1316e-01,1.1373e-02,1.1450e-02
