Iteración,Valor función,Norma gradiente,Δx
0,4.0929e-01,2.9591e-01,6.4030e-01
1,3.3491e-01,2.1279e-01,2.9591e-01
2,2.9432e-01,1.7072e-01,2.1279e-01
3,2.6750e-01,1.4438e-01,1.7072e-01
4,2.4802e-01,1.2603e-01,1.4438e-01
5,2.3302e-01,1.1237e-01,1.2603e-01
6,2.2100e-01,1.0173e-01,1.1237e-01
7,2.1110e-01,9.3168e-02,1.0173e-01
8,2.0275e-01,8.6108e-02,9.3168e-02
9,1.9560e-01,8.0168e-02,8.6108e-02
10,1.8938e-01,7.5091e-02,8.0168e-02
11,1.8391e-01,7.0694e-02,7.5091e-02
12,1.7905e-01,6.6843e-02,7.0694e-02
13,1.7469e-01,6.3438e-02,6.6843e-02
14,1.7077e-01,6.0402e-02,6.3438e-02
15,1.6720e-01,5.7677e-02,6.0402e-02
16,1.6395e-01,5.5215e-02,5.7677e-02
17,1.6096e-01,5.2978e-02,5.5215e-02
18,1.5821e-01,5.0935e-02,5.2978e-02
19,1.5566e-01,4.9061e-02,5.0935e-02
20,1.5330e-01,4.7335e-02,4.9061e-02
21,1.5109e-01,4.5740e-02,4.7335e-02
22,1.4904e-01,4.4261e-02,4.5740e-02
23,1.4711e-01,4.2884e-02,4.4261e-02
24,1.4530e-01,4.1600e-02,4.2884e-02
25,1.4359e-01,4.0398e-02,4.1600e-02
26,1.4198e-01,3.9271e-02,4.0398e-02
27,1.4046e-01,3.8212e-02,3.9271e-02
28,1.3902e-01,3.7215e-02,3.8212e-02
29,1.3765e-01,3.6274e-02,3.7215e-02
30,1.3635e-01,3.5384e-02,3.6274e-02
31,1.3512e-01,3.4541e-02,3.5384e-02
32,1.3394e-01,3.3741e-02,3.4541e-02
33,1.3281e-01,3.2982e-02,3.3741e-02
34,1.3174e-01,3.2259e-02,3.2982e-02
35,1.3071e-01,3.1571e-02,3.2259e-02
36,1.2972e-01,3.0914e-02,3.1571e-02
37,1.2877e-01,3.0286e-02,3.0914e-02
38,1.2787e-01,2.9687e-02,3.0286e-02
39,1.2699e-01,2.9113e-02,2.9687e-02
40,1.2615e-01,2.8562e-02,2.9113e-02
41,1.2534e-01,2.8035e-02,2.8562e-02
42,1.2457e-01,2.7528e-02,2.8035e-02
43,1.2381e-01,2.7041e-02,2.7528e-02
44,1.2309e-01,2.6573e-02,2.7041e-02
45,1.2239e-01,2.6122e-02,2.6573e-02
46,1.2171e-01,2.5688e-02,2.6122e-02
47,1.2106e-01,2.5270e-02,2.5688e-02
48,1.2043e-01,2.4866e-02,2.5270e-02
49,1.1981e-01,2.4476e-02,2.4866e-02
50,1.1922e-01,2.4099e-02,2.4476e-02
51,1.1864e-01,2.3735e-02,2.4099e-02
52,1.1808e-01,2.3383e-02,2.3735e-02
53,1.1754e-01,2.3042e-02,2.3383e-02
54,1.1701e-01,2.2712e-02,2.3042e-02
55,1.1650e-01,2.2392e-02,2.2712e-02
56,1.1600e-01,2.2082e-02,2.2392e-02
57,1.1552e-01,2.1781e-02,2.2082e-02
58,1.1505e-01,2.1489e-02,2.1781e-02
59,1.1459e-01,2.1205e-02,2.1489e-02
60,1.1414e-01,2.0930e-02,2.1205e-02
61,1.1371e-01,2.0662e-02,2.0930e-02
62,1.1328e-01,2.0402e-02,2.0662e-02
63,1.1287e-01,2.0149e-02,2.0402e-02
64,1.1246e-01,1.9902e-02,2.0149e-02
65,1.1207e-01,1.9663e-02,1.9902e-02
66,1.1169e-01,1.9429e-02,1.9663e-02
67,1.1131e-01,1.9201e-02,1.9429e-02
68,1.1094e-01,1.8980e-02,1.9201e-02
69,1.1059e-01,1.8763e-02,1.8980e-02
70,1.1024e-01,1.8552e-02,1.8763e-02
71,1.0989e-01,1.8347e-02,1.8552e-02
72,1.0956e-01,1.8146e-02,1.8347e-02
73,1.0923e-01,1.7950e-02,1.8146e-02
74,1.0891e-01,1.7758e-02,1.7950e-02
75,1.0860e-01,1.7571e-02,1.7758e-02
76,1.0829e-01,1.7389e-02,1.7571e-02
77,1.0799e-01,1.7210e-02,1.7389e-02
78,1.0769e-01,1.7035e-02,1.7210e-02
79,1.0741e-01,1.6864e-02,1.7035e-02
80,1.0712e-01,1.6697e-02,1.6864e-02
81,1.0685e-01,1.6534e-02,1.6697e-02
82,1.0657e-01,1.6374e-02,1.6534e-02
83,1.0631e-01,1.6217e-02,1.6374e-02
84,1.0605e-01,1.6064e-02,1.6217e-02
