Iteración,Valor función,Norma gradiente,Δx
0,5.8355e-01,5.0725e-01,1.9112e-01
1,3.9401e-01,2.7077e-01,5.0725e-01
2,3.3081e-01,2.0079e-01,2.7077e-01
3,2.9440e-01,1.6356e-01,2.0079e-01
4,2.6967e-01,1.3971e-01,1.6356e-01
5,2.5137e-01,1.2285e-01,1.3971e-01
6,2.3707e-01,1.1018e-01,1.2285e-01
7,2.2549e-01,1.0023e-01,1.1018e-01
8,2.1586e-01,9.2173e-02,1.0023e-01
9,2.0767e-01,8.5496e-02,9.2173e-02
10,2.0061e-01,7.9855e-02,8.5496e-02
11,1.9443e-01,7.5016e-02,7.9855e-02
12,1.8896e-01,7.0811e-02,7.5016e-02
13,1.8408e-01,6.7120e-02,7.0811e-02
14,1.7968e-01,6.3848e-02,6.7120e-02
15,1.7570e-01,6.0926e-02,6.3848e-02
16,1.7207e-01,5.8297e-02,6.0926e-02
17,1.6874e-01,5.5918e-02,5.8297e-02
18,1.6568e-01,5.3753e-02,5.5918e-02
19,1.6284e-01,5.1774e-02,5.3753e-02
20,1.6021e-01,4.9955e-02,5.1774e-02
21,1.5775e-01,4.8279e-02,4.9955e-02
22,1.5546e-01,4.6727e-02,4.8279e-02
23,1.5331e-01,4.5286e-02,4.6727e-02
24,1.5129e-01,4.3944e-02,4.5286e-02
25,1.4939e-01,4.2690e-02,4.3944e-02
26,1.4759e-01,4.1516e-02,4.2690e-02
27,1.4589e-01,4.0415e-02,4.1516e-02
28,1.4428e-01,3.9378e-02,4.0415e-02
29,1.4275e-01,3.8401e-02,3.9378e-02
30,1.4129e-01,3.7478e-02,3.8401e-02
31,1.3990e-01,3.6604e-02,3.7478e-02
32,1.3858e-01,3.5776e-02,3.6604e-02
33,1.3731e-01,3.4990e-02,3.5776e-02
34,1.3610e-01,3.4242e-02,3.4990e-02
35,1.3494e-01,3.3531e-02,3.4242e-02
36,1.3383e-01,3.2852e-02,3.3531e-02
37,1.3276e-01,3.2204e-02,3.2852e-02
38,1.3173e-01,3.1585e-02,3.2204e-02
39,1.3074e-01,3.0993e-02,3.1585e-02
40,1.2979e-01,3.0425e-02,3.0993e-02
41,1.2887e-01,2.9881e-02,3.0425e-02
42,1.2799e-01,2.9359e-02,2.9881e-02
43,1.2714e-01,2.8857e-02,2.9359e-02
44,1.2631e-01,2.8374e-02,2.8857e-02
45,1.2551e-01,2.7910e-02,2.8374e-02
46,1.2474e-01,2.7462e-02,2.7910e-02
47,1.2399e-01,2.7031e-02,2.7462e-02
48,1.2326e-01,2.6615e-02,2.7031e-02
49,1.2256e-01,2.6213e-02,2.6615e-02
50,1.2188e-01,2.5826e-02,2.6213e-02
51,1.2122e-01,2.5451e-02,2.5826e-02
52,1.2057e-01,2.5088e-02,2.5451e-02
53,1.1995e-01,2.4737e-02,2.5088e-02
54,1.1934e-01,2.4397e-02,2.4737e-02
55,1.1875e-01,2.4068e-02,2.4397e-02
56,1.1818e-01,2.3748e-02,2.4068e-02
57,1.1762e-01,2.3438e-02,2.3748e-02
58,1.1707e-01,2.3138e-02,2.3438e-02
59,1.1654e-01,2.2846e-02,2.3138e-02
60,1.1602e-01,2.2562e-02,2.2846e-02
61,1.1551e-01,2.2287e-02,2.2562e-02
62,1.1502e-01,2.2019e-02,2.2287e-02
63,1.1454e-01,2.1758e-02,2.2019e-02
64,1.1407e-01,2.1505e-02,2.1758e-02
65,1.1361e-01,2.1258e-02,2.1505e-02
66,1.1316e-01,2.1017e-02,2.1258e-02
67,1.1272e-01,2.0783e-02,2.1017e-02
68,1.1229e-01,2.0555e-02,2.0783e-02
69,1.1187e-01,2.0332e-02,2.0555e-02
70,1.1146e-01,2.0115e-02,2.0332e-02
71,1.1105e-01,1.9903e-02,2.0115e-02
72,1.1066e-01,1.9697e-02,1.9903e-02
73,1.1027e-01,1.9495e-02,1.9697e-02
74,1.0990e-01,1.9298e-02,1.9495e-02
75,1.0953e-01,1.9105e-02,1.9298e-02
76,1.0916e-01,1.8917e-02,1.9105e-02
77,1.0881e-01,1.8734e-02,1.8917e-02
78,1.0846e-01,1.8554e-02,1.8734e-02
79,1.0811e-01,1.8378e-02,1.8554e-02
80,1.0778e-01,1.8206e-02,1.8378e-02
81,1.0745e-01,1.8038e-02,1.8206e-02
82,1.0712e-01,1.7873e-02,1.8038e-02
83,1.0681e-01,1.7712e-02,1.7873e-02
84,1.0649e-01,1.7554e-02,1.7712e-02
85,1.0619e-01,1.7400e-02,1.7554e-02
86,1.0589e-01,1.7248e-02,1.7400e-02
87,1.0559e-01,1.7100e-02,1.7248e-02
88,1.0530e-01,1.6954e-02,1.7100e-02
89,1.0501e-01,1.6812e-02,1.6954e-02
90,1.0473e-01,1.6672e-02,1.6812e-02
91,1.0445e-01,1.6535e-02,1.6672e-02
92,1.0418e-01,1.6401e-02,1.6535e-02
93,1.0391e-01,1.6269e-02,1.6401e-02
94,1.0365e-01,1.6139e-02,1.6269e-02
95,1.0339e-01,1.6012e-02,1.6139e-02
96,1.0314e-01,1.5888e-02,1.6012e-02
97,1.0288e-01,1.5765e-02,1.5888e-02
98,1.0264e-01,1.5645e-02,1.5765e-02
99,1.0239e-01,1.5527e-02,1.5645e-02
100,1.0215e-01,1.5411e-02,1.5527e-02
101,1.0192e-01,1.5297e-02,1.5411e-02
102,1.0168e-01,1.5185e-02,1.5297e-02
103,1.0145e-01,1.5075e-02,1.5185e-02
104,1.0123e-01,1.4967e-02,1.5075e-02
105,1.0100e-01,1.4860e-02,1.4967e-02
106,1.0078e-01,1.4756e-02,1.4860e-02
107,1.0057e-01,1.4653e-02,1.4756e-02
108,1.0035e-01,1.4552e-02,1.4653e-02
109,1.0014e-01,1.4453e-02,1.4552e-02
110,9.9933e-02,1.4355e-02,1.4453e-02
111,9.9728e-02,1.4258e-02,1.4355e-02
112,9.9525e-02,1.4164e-02,1.4258e-02
113,9.9325e-02,1.4070e-02,1.4164e-02
114,9.9128e-02,1.3978e-02,1.4070e-02
115,9.8933e-02,1.3888e-02,1.3978e-02
116,9.8741e-02,1.3799e-02,1.3888e-02
117,9.8551e-02,1.3711e-02,1.3799e-02
118,9.8364e-02,1.3625e-02,1.3711e-02
119,9.8179e-02,1.3540e-02,1.3625e-02
120,9.7996e-02,1.3456e-02,1.3540e-02
121,9.7815e-02,1.3374e-02,1.3456e-02
122,9.7637e-02,1.3293e-02,1.3374e-02
123,9.7461e-02,1.3212e-02,1.3293e-02
124,9.7287e-02,1.3134e-02,1.3212e-02
125,9.7115e-02,1.3056e-02,1.3134e-02
126,9.6945e-02,1.2979e-02,1.3056e-02
127,9.6777e-02,1.2903e-02,1.2979e-02
128,9.6611e-02,1.2829e-02,1.2903e-02
129,9.6447e-02,1.2755e-02,1.2829e-02
130,9.6285e-02,1.2683e-02,1.2755e-02
131,9.6124e-02,1.2611e-02,1.2683e-02
132,9.5966e-02,1.2541e-02,1.2611e-02
133,9.5809e-02,1.2471e-02,1.2541e-02
134,9.5654e-02,1.2403e-02,1.2471e-02
135,9.5500e-02,1.2335e-02,1.2403e-02
136,9.5348e-02,1.2268e-02,1.2335e-02
137,9.5198e-02,1.2202e-02,1.2268e-02
138,9.5050e-02,1.2137e-02,1.2202e-02
139,9.4903e-02,1.2073e-02,1.2137e-02
140,9.4758e-02,1.2009e-02,1.2073e-02
141,9.4614e-02,1.1947e-02,1.2009e-02
142,9.4471e-02,1.1885e-02,1.1947e-02
143,9.4330e-02,1.1824e-02,1.1885e-02
144,9.4191e-02,1.1764e-02,1.1824e-02
145,9.4053e-02,1.1704e-02,1.1764e-02
